2025-03-12 19:21:14,063 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,070 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,077 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,088 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,095 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,103 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,114 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,122 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,129 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,140 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,148 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,156 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,167 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,175 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,189 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,194 - __main__ - INFO - Generadas respuestas para 70/100 alumnos
2025-03-12 19:21:14,204 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,213 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,223 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,233 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,242 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,251 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,261 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,269 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,277 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,288 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,296 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,307 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,318 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,326 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,334 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,346 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,353 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,361 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,372 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,381 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,389 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,399 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,407 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,414 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,425 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,432 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,441 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,452 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,459 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,468 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,472 - __main__ - INFO - Generadas respuestas para 80/100 alumnos
2025-03-12 19:21:14,479 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,487 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,495 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,507 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,514 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,523 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,532 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,541 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,548 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
2025-03-12 19:21:14,558 - __main__ - INFO - Todas las preguntas han sido usadas, reiniciando el conjunto usado
